,codici-identificativi.isil,denominazioni.ufficiale,ente,indirizzo.coordinate,indirizzo.via-piazza,tipologia-amministrativa,tipologia-funzionale,accesso.portatori-handicap,accesso.riservato
172,IT-AL0124,Biblioteca civica,Comune di Pietra Marazzi,"[44.944098, 8.670661]",Piazza Umberto I  1,Comune,Pubblica,,False
173,IT-AL0127,Biblioteca civica,Comune di Vignale Monferrato,"[45.0107008, 8.3965173]",Piazza del Popolo,Comune,Pubblica,,False
174,IT-AL0128,Biblioteca civica,Comune di Viguzzolo,"[44.9051714, 8.919159]",Piazza Libertà 8,Comune,Pubblica,,False
175,IT-AL0130,Biblioteca del Seminario vescovile monsignor C. G. Capra,Seminario vescovile,"[44.6742314, 8.4706708]","Piazza Duomo, 6",Enti ecclesiastici,Specializzata,True,False
176,IT-AL0131,Biblioteca del Club alpino italiano - CAI,Club alpino italiano - CAI,"[44.6731213, 8.4695578]",Via Monteverde 44,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,True
177,IT-AL0134,Biblioteca del Conservatorio statale di musica Antonio Vivaldi,"Ministero dell'istruzione, dell'università e della ricerca. Conservatorio statale di musica Antonio Vivaldi di Alessandria","[44.912547, 8.6173034]",Via Parma 1,Presidenza del consiglio dei ministri e ministeri,Specializzata,,True
178,IT-AL0135,Biblioteca dell'Istituto per la storia della Resistenza e della societa' contemporanea in provincia di Alessandria - ISRAL,Istituto per la storia della Resistenza e della societa' contemporanea in provincia di Alessandria,"[44.9165177, 8.6168208]",Via dei Guasco 49,"Consorzio e/o associazioni di regioni, provincie, comuni e comunità montane",Specializzata,,False
179,IT-AL0142,Biblioteca dell'Istituto sperimentale per la pioppicultura,Societa' agricola forestale - SAF. Istituto sperimentale per la pioppicultura,"[45.1358, 8.484635]",Strada per Frassineto Po 32,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,True
180,IT-AL0143,Biblioteca dell'Archivio vescovile,Curia vescovile di Acqui Terme,"[44.6742314, 8.4706708]",Piazza Duomo 4,Enti ecclesiastici,Specializzata,,True
181,IT-AL0144,Biblioteca e archivio storico della Cassa di risparmio di Alessandria,Cassa di risparmio di Alessandria,"[44.9137084, 8.6170965]",Via Dante 2,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,True
182,IT-AL0145,Biblioteca e centro di documentazione del Gruppo volontariato assistenza handicappati,Gruppo volontariato assistenza handicappati - GVA,"[44.6766694, 8.4704869]",Piazza S. Francesco 1,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,True
183,IT-AL0146,Biblioteca del Seminario teologico Don Orione,Piccola Opera della Divina Provvidenza. Istituto teologico Don Orione di Tortona,"[44.8876702, 8.8585292]",Via Sparpaglione 15,Enti ecclesiastici,Specializzata,,False
184,IT-AL0147,Biblioteca diocesana,"Fondazione ""Biblioteca del Seminario""","[45.137211, 8.4534659]","via Liutprando, 1",Enti ecclesiastici,Importante non specializzata,False,False
185,IT-AL0148,Biblioteca del Convento dei Padri Cappuccini,Frati Minori Cappuccini. Convento di Alessandria,"[44.9110231, 8.6106281]",Via San Francesco d'Assisi 13,Enti ecclesiastici,Specializzata,,True
186,IT-AL0149,Biblioteca del Parco naturale e area attrezzata del Sacro Monte di Crea,Parco naturale e area attrezzata del Sacro Monte di Crea,"[45.0854671, 8.2632261]",,Regione,Specializzata,,False
187,IT-AL0150,Biblioteca del Gruppo archeologico del Basso Piemonte,Gruppo archeologico del Basso Piemonte,"[44.9151217, 8.6177034]",Via Mazzini 46,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
188,IT-AL0151,Biblioteca civica,Comune di Alluvioni Cambio',"[44.99874, 8.783085]",Via Roma 47,Comune,Pubblica,,False
189,IT-AL0152,Biblioteca dell'Accademia urbense di Ovada - Archivio Alto Monferrato,Accademia urbense di Ovada,"[44.639405, 8.6457583]",Piazza Cereseto 7,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,False
190,IT-AL0153,Biblioteca del Dipartimento di Scienze e Innovazione tecnologica dell' Università degli Studi del Piemonte orientale A. Avogadro,"Ministero dell'istruzione, dell'università e della ricerca. Dipartimento di Scienze e Innovazione tecnologica dell' Università degli Studi del Piemonte orientale A. Avogadro","[44.9227495, 8.6167519]","Viale Teresa Michel, 11 ",Universita' statali,Istituto di insegnamento superiore,True,False
191,IT-AL0154,Biblioteca dell'Azienda teatrale alessandrina,Azienda teatrale alessandrina - ATA,"[44.9082186, 8.6116229]",Via Savona 3,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,True
192,IT-AL0155,Biblioteca del Dipartimento di scienze giuridiche ed economiche dell'Università degli studi del Piemonte orientale Amedeo Avogadro. Sede di Alessandria,Università degli studi del Piemonte orientale Amedeo Avogadro. Sede di Alessandria. Dipartimento di scienze giuridiche ed economiche,"[44.9087392, 8.6156468]",Via Cavour 84,Universita' statali,Istituto di insegnamento superiore,,True
193,IT-AL0156,Biblioteca Norberto Bobbio.Università degli studi del Piemonte orientale Amedeo Avogadro,Università degli studi del Piemonte orientale Amedeo Avogadro. Dipartimento di politiche pubbliche e scelte collettive e Dipartimento di ricerca sociale,"[44.9087392, 8.6156468]",Via Cavour 84,Universita' statali,Istituto di insegnamento superiore,,True
194,IT-AL0157,Biblioteca dell'ex Ospedale psichiatrico San Giacomo,USSL 70 Alessandria,"[44.917808, 8.620565]",Spalto Marengo 35,Aziende ed enti del servizio sanitario nazionale,Specializzata,,True
195,IT-AL0158,Biblioteca dell'Ospedale civile Santi Antonio e Biagio,USSL 70 Alessandria,"[44.9153962, 8.6204103]",Via Venezia 18,Aziende ed enti del servizio sanitario nazionale,Specializzata,,False
196,IT-AL0159,Biblioteca civica,Comune di Camagna,"[45.0179904, 8.430448]",Via G. Matteotti 22,Comune,Pubblica,,False
197,IT-AL0160,Biblioteca civica,Comune di Carbonara Scrivia,"[44.8501666, 8.8709629]",Municipio,Comune,Pubblica,,False
198,IT-AL0161,Biblioteca civica,Comune di Sardigliano,"[44.75243, 8.895883]",Piazza R. Caretta 7,Comune,Pubblica,,False
199,IT-AL0162,Biblioteca del Convento dei Padri Cappuccini,Frati Minori Cappuccini. Convento di Tortona,"[44.8970651, 8.8712313]",Viale San Francesco 1,Enti ecclesiastici,Specializzata,,True
200,IT-AL0163,Biblioteca del Santuario di Nostra Signora di Crea,,"[45.1012592, 8.2831296]",,NON SPECIFICATA,NON SPECIFICATA,,
201,IT-AL0164,Biblioteca medico scientifica,Azienda ospedaliera nazionale SS. Antonio e Biagio e Cesare Arrigo ,"[44.910762, 8.71055]","Via XXX Aprile, 30",Aziende ed enti del servizio sanitario nazionale,Specializzata,,False
202,IT-AL0165,Biblioteca civica,Comune di Balzola,"[45.1828535, 8.402165]",Via Roma 75,Comune,Pubblica,,False
203,IT-AL0166,Biblioteca civica,Comune di Terruggia,"[45.0837805, 8.4403936]",Via Prato 12,Comune,Pubblica,,False
204,IT-AL0167,Biblioteca dell'Istituto diocesano di musica sacra,,"[44.8976286, 8.8664597]",Via del Seminario 3/a,NON SPECIFICATA,NON SPECIFICATA,,
205,IT-AL0168,Biblioteca della Scuola media statale Leardi,"Ministero dell'istruzione, dell'università e della ricerca. Scuola secondaria di primo grado ""Leardi""","[45.1355689, 8.45759410000005]",Via Gonzaga 21,Presidenza del consiglio dei ministri e ministeri,Scolastica,,
206,IT-AL0169,Biblioteca civica G. Borghello,Comune di Albera Ligure,"[44.7024643, 9.06574]",Via Roma 1,Comune,Pubblica,,False
207,IT-AL0170,Biblioteca del tiro a segno nazionale,Tiro a Segno Nazionale di Alessandria,"[44.9242781434134, 8.59542883599852]",Via Giordano Bruno 73,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,True
208,IT-AL0171,Biblioteca civica Luigi Rava,Comune di Carentino,"[44.8288439, 8.4707318]",Piazza A. Reggio 1,Comune,Pubblica,,False
209,IT-AL0172,Biblioteca civica,Comune di Masio,"[44.86938, 8.405975]",Piazza Baiveri 3,Comune,Pubblica,,False
210,IT-AL0173,Biblioteca civica,Comune di Odalengo Piccolo,"[45.0720229, 8.2072184]",,Comune,NON SPECIFICATA,,
211,IT-AL0174,Biblioteca civica,Comune di Silvano d'Orba,"[44.6822931, 8.6712035]",Piazzale De Gasperi 4,Comune,Pubblica,,False
212,IT-AL0175,Biblioteca civica,Comune di Visone,"[44.6623561, 8.5031063]",Via M. Pittavino 5,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,False
213,IT-AL0176,Biblioteca popolare Serafino Bruna,Associazione Biblioteca popolare Serafino Bruna di Cascinagrossa,"[44.9115529, 8.6097951]",Via Gramsci 31,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Pubblica,,False
214,IT-AL0177,Biblioteca dell'Istituto statale d'arte B. Cellini,"Ministero dell'istruzione, dell'università e della ricerca","[45.0048304, 8.6609083]",Strada Pontecuore 6,Presidenza del consiglio dei ministri e ministeri,Scolastica,,
215,IT-AL0178,Biblioteca del Centro di formazione professionale della Regione Piemonte,,"[45.0137594, 8.6360014]",Via Bologna 36,NON SPECIFICATA,NON SPECIFICATA,,
216,IT-AL0179,Archivio di Stato di Alessandria,Ministero per i beni e le attività culturali. Archivio di Stato di Alessandria,"[44.9137392, 8.6259887]",Via G. Solero 43,NON SPECIFICATA,NON SPECIFICATA,,
217,IT-AL0180,Archivio storico comunale,,"[44.910762, 8.71055]",,NON SPECIFICATA,NON SPECIFICATA,,
218,IT-AL0181,Archivio e biblioteca capitolari della Cattedrale di San Pietro,,"[44.9120153, 8.6179692]",Piazza Giovanni XXIII  1,NON SPECIFICATA,NON SPECIFICATA,,
219,IT-AL0182,Archivio del Centro di cultura popolare G. Ferraro,,"[44.9165177, 8.6168208]",Via Guasco 49,NON SPECIFICATA,NON SPECIFICATA,,
220,IT-AL0183,Museo civico,Comune di Alessandria,"[44.9117774, 8.6193005]",Via Tripoli 16,NON SPECIFICATA,NON SPECIFICATA,,
221,IT-AL0184,Archivio di San Domenico,,"[45.1386566, 8.4518646]",Piazza S. Domenico 3,NON SPECIFICATA,NON SPECIFICATA,,
222,IT-AL0185,Museo d'arte e storia ebraica,,"[45.135671, 8.449768]",Vicolo Salomone Diper 44,NON SPECIFICATA,NON SPECIFICATA,,
223,IT-AL0186,Biblioteca della Provincia di Alessandria,Provincia di Alessandria,"[44.9165177, 8.6168208]",Via dei Guasco 49,Provincia,Specializzata,,False
224,IT-AL0187,Biblioteca civica,Comune di Frassinello Monferrato,"[45.0333668, 8.3904996]",,Comune,NON SPECIFICATA,,
225,IT-AL0188,Biblioteca civica,Comune di Altavilla Monferrato,"[44.9974137, 8.3686022]",,NON SPECIFICATA,NON SPECIFICATA,,
226,IT-AL0189,Biblioteca civica,Comune di Gamalero,"[44.8090186, 8.542582]",Piazza Aldo Moro 3,Comune,Pubblica,,False
227,IT-AL0190,Biblioteca civica,Comune di Garbagna,"[44.7814074, 8.9989074]",,NON SPECIFICATA,NON SPECIFICATA,,
228,IT-AL0191,Biblioteca civica,Comune di Melazzo,"[44.6450185, 8.4261111]",,NON SPECIFICATA,NON SPECIFICATA,,
229,IT-AL0192,Biblioteca civica,Comune di Molino de' Torti,"[45.0253333, 8.8948703]",,NON SPECIFICATA,NON SPECIFICATA,,
230,IT-AL0193,Biblioteca civica Eugenio Arecco,Comune di Pasturana,"[44.750197, 8.74841500000002]",Via Roma 1,Comune,Pubblica,,False
231,IT-AL0194,Biblioteca comunale Camillo Cappellaro,Comune di Rosignano Monferrato,"[45.0811435, 8.3998028]",Via Marconi 2,Comune,Pubblica,,False
232,IT-AL0195,Biblioteca civica,Comune di San Sebastiano Curone,"[44.7876666, 9.0659444]",,NON SPECIFICATA,NON SPECIFICATA,,
233,IT-AL0196,Biblioteca civica,Cumune di Sarezzano,"[44.8698817, 8.9082362]",Via alle scuole,NON SPECIFICATA,NON SPECIFICATA,,
234,IT-AL0197,Biblioteca comunale Nelson Mandela,Comune di Tagliolo Monferrato,"[44.639065, 8.6686669]",Via Roma 12,Comune,Pubblica,,
235,IT-AL0198,Biblioteca civica,Comune di Tassarolo,"[44.729537, 8.7726666]",,NON SPECIFICATA,NON SPECIFICATA,,
236,IT-AL0199,Biblioteca civica,Comune di Trisobbio,"[44.6624407, 8.5861817]",Via De Rossi 20,NON SPECIFICATA,NON SPECIFICATA,,
237,IT-AL0200,Biblioteca civica,Comune di Villaromagnano,"[44.8506296, 8.8889259]",,NON SPECIFICATA,NON SPECIFICATA,,
238,IT-AL0201,Biblioteca dello Studio-Museo Pellizza,Comune di Volpedo,"[44.8997097, 8.9784726]",Via Rosano 3,Comune,Specializzata,,False
239,IT-AL0202,Biblioteca civica,Comune di Fabbrica Curone,"[44.755397, 9.154017]",Garadassi 7,Comune,Pubblica,,
240,IT-AL0203,Biblioteca del Liceo classico Giuseppe Saracco,"Ministero dell'istruzione, dell'università e della ricerca","[44.6693249, 8.468739]",Corso Bagni 1,Presidenza del consiglio dei ministri e ministeri,Scolastica,,
241,IT-AL0204,"Biblioteca della Facoltà di economia dell'Università degli studi del Piemonte orientale Amedeo Avogadro, sede di Casale Monferrato",Università degli studi del Piemonte orientale Amedeo Avogadro. Facoltà di economia,"[45.1364941, 8.4574271]",Via O. Capello 3,Universita' statali,Istituto di insegnamento superiore,,
242,IT-AL0205,Biblioteca civica,Comune di Castelletto d'Erro,"[44.6252453, 8.3943445]",Viale Roma 10,Comune,Pubblica,,
243,IT-AL0206,Biblioteca del Liceo scientifico E. Amaldi,"Ministero dell'istruzione, dell'università e della ricerca","[44.763767, 8.781416]",Via Mameli 9,Presidenza del consiglio dei ministri e ministeri,Scolastica,,
244,IT-AL0207,Biblioteca civica Enrico Brizzolesi,Comune di Capriata d'Orba,"[44.728179, 8.6913747]",Via Brizzolesi,NON SPECIFICATA,NON SPECIFICATA,,
245,IT-AL0208,Biblioteca della Scuola media statale Dante Alighieri,"Ministero dell'istruzione, dell'università e della ricerca","[45.1238302, 8.4548503]",Via Verdi 6,Presidenza del consiglio dei ministri e ministeri,Scolastica,,
246,IT-AL0209,Biblioteca dell'Asilo nido Oltreponte,,"[45.1462204, 8.4451283]",Via Adam,NON SPECIFICATA,NON SPECIFICATA,,
247,IT-AL0210,Biblioteca dell'Istituto tecnico commerciale statale Francesco Torre,"Ministero dell'istruzione, dell'università e della ricerca","[44.6769277, 8.46910500000001]",Corso Roma 4,NON SPECIFICATA,NON SPECIFICATA,,
248,IT-AL0211,Biblioteca dell'Istituto professionale statale per i servizi commerciali e turistici Francesco Torre,"Ministero dell'istruzione, dell'università e della ricerca","[44.675422, 8.4616178]",Corso Divisione Acqui,NON SPECIFICATA,NON SPECIFICATA,,
249,IT-AL0212,Biblioteca dell'Istituto tecnico industriale statale Francesco Torre,"Ministero dell'istruzione, dell'università e della ricerca","[44.67698, 8.46044000000006]",Corso C. Marx 1,Presidenza del consiglio dei ministri e ministeri,Scolastica,,
250,IT-AL0213,Biblioteca - Centro Comunale di Cultura,Comune di Valenza,"[45.014731, 8.6457613]",Piazza XXXI Martiri,Comune,Pubblica,,False
251,IT-AL0214,Biblioteca civica,Comune di Francavilla Bisio,"[44.7321351, 8.73442679999994]",Via Guasco 39,Comune,Pubblica,,False
252,IT-AL0215,Biblioteca civica,Comune di San Cristoforo,"[44.6924478, 8.7497358]",Piazzale Carpaneto Spinola 3,Comune,Pubblica,,False
253,IT-AL0216,Biblioteca della Scuola media statale Gerolamo Boccardo,"Ministero dell'istruzione, dell'università e della ricerca. Istituto Comprensivo 2 - Novi Ligure  ","[44.7596923, 8.8013095]",Via Aurelio Ferrando Scrivia 24,Presidenza del consiglio dei ministri e ministeri,Scolastica,,
254,IT-AL0217,Biblioteca civica,Comune di Orsara Bormida,"[44.6861421, 8.5624417]",Via Repubblica Argentina 8,NON SPECIFICATA,NON SPECIFICATA,,
255,IT-AL0218,Biblioteca del Liceo Giuseppe Peano,"Ministero dell'istruzione, dell'università e della ricerca","[44.8798857, 8.85735620000003]",Via Vittorio Veneto 3/a,Presidenza del consiglio dei ministri e ministeri,Scolastica,,True
256,IT-AL0219,Biblioteca della Filarmonica di Casale Monferrato,,"[45.1361449, 8.4532509]",Via Mameli 29,NON SPECIFICATA,NON SPECIFICATA,,
257,IT-AL0220,Biblioteca Parco Capanne di Marcarolo,PARCO NATURALE DELLE CAPANNE DI MARCAROLO,"[44.6350078, 8.7135899]","Via G. Baldo, 29",Regione,Specializzata,,False
258,IT-AL0221,Biblioteca civica ,Comune di Mombello Monferrato,"[45.133042, 8.25095199999998]",Piazza Municipio 2,Comune,Pubblica,,False
259,IT-AL0222,Biblioteca comunale Gabriele Serrafero ,Comune di Camino,"[45.1622654, 8.2872415]",Via Roma 37,Comune,Pubblica,True,False
260,IT-AL0223,Archivio diocesano,,"[44.8977431, 8.866322]",Via Seminario 5,NON SPECIFICATA,NON SPECIFICATA,,
261,IT-AL0224,Biblioteca civica Cesare Pavese,Comune di Serralunga di Crea,"[45.1003109, 8.283099]",Via Villaforte 5,Comune,Pubblica,,
262,IT-AL0225,Biblioteca della Fondazione CR Tortona,Fondazione Cassa di Risparmio di Tortona,"[44.897415, 8.8648547]",Corso Leoniero 6,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,False
263,IT-AL0226,Biblioteca civica,Comune di Lerma,"[44.6355557, 8.7137433]",Piazza Genova 2,Comune,Pubblica,,False
264,IT-AL0227,Biblioteca dell'Istituto ITIS Giulio Ciampini,"Ministero dell'istruzione, dell'università e della ricerca. Istituto di Istruzione Superiore Ciampini-Boccardo","[44.761258, 8.79321200000004]",Via Verdi 44,Presidenza del consiglio dei ministri e ministeri,Scolastica,,
265,IT-AL0228,Biblioteca civica,,"[44.584879, 8.868421]",Frazione Molini 35,NON SPECIFICATA,NON SPECIFICATA,,
266,IT-AL0229,"Biblioteca delle ragazze e dei ragazzi ""Emanuele Luzzati""",Comune di Casale Monferrato,"[45.1366382, 8.4477793]",Piazza Castello,Comune,Pubblica,True,False
267,IT-AL0230,Biblioteca del Centro documentazione Sacri Monti,Ente di gestione dei Sacri Monti,"[45.0926609, 8.2686]","Cascina Valperone, 1",Enti territoriali,Specializzata,,True
268,IT-AL0231,Biblioteca civica,Comune di Ricaldone,"[44.7340459, 8.4694622]","Via M. Talice, 13",Comune,Pubblica,,False
269,IT-AL0232,Biblioteca del Club Alpino italiano - CAI Sezione Davide e Luigi Guerci,Club alpino italiano - CAI. Sezione di Valenza,"[45.0119849, 8.63456159999999]",Giardini Aldo Moro,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,
270,IT-AL0233,Biblioteca civica G. Borsalino,Comune di Pecetto di Valenza,"[44.9894001, 8.6698754]",Via Borsalino 4,Comune,Pubblica,,
271,IT-AL0234,Biblioteca Civica,Comune di Casalnoceto,"[44.9118851, 8.98338680000006]",Via Volpedo 1,Comune,Pubblica,,False
272,IT-AL0235,Biblioteca civica,Comune di Ottiglio,"[45.054414, 8.340655]",Via Mazza 33/b,Comune,Pubblica,,False
273,IT-AL0236,Biblioteca civica,Comune di Cantalupo Ligure,"[44.7192983, 9.0445281]",Via Santa Caterina,Comune,Pubblica,,False
274,IT-AL0237,Biblioteca civica,Comune di Voltaggio,"[44.6201488, 8.8426783]","Via Garibaldi, 2",Comune,Pubblica,,False
275,IT-AL0238,"Biblioteca N. Bobbio del Dipartimento di giurisprudenza e scienze politiche, economiche e sociali dell'Università degli studi del Piemonte Orientale Amedeo Avogadro - DIGSPES - Sede di Alessandria ",Università degli studi del Piemonte Orientale Amedeo Avogadro,"[44.9092471, 8.6156487]",Via Cavour 84,Universita' statali,Specializzata,True,False
276,IT-AL0239,Biblioteca Civica,Comune di Ponti,"[44.6273913, 8.3656391]",Piazza XX Settembre 1,Comune,Pubblica,,False
277,IT-AL0302,Biblioteca della CISL AL-AT Michele Crosio,CISL AL-AT,"[44.9124573, 8.61931140000002]","Via Tripoli, 14","Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,True,False
278,IT-AL0303,Biblioteca Comunale,Comune di Coniolo,"[45.147028, 8.37212699999998]",Via Dalmazio Birago 13,Comune,Pubblica,False,False
279,IT-AL0308,Biblioteca del nuovo circolo ILVA,Nuovo circolo ILVA S.C.R.L.,"[44.7591047, 8.79095159999997]",Corso Piave 2,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Pubblica,True,False
280,IT-AL0309,Biblioteca dell'Istituto di istruzione superiore Cesare Balbo,"Ministero dell'istruzione, dell'Università e della ricerca. Istituto di iistruzione superiore Cesare Balbo","[45.1353169905135, 8.44702177116392]","Via Galeotto del Carretto, 1 ",Presidenza del consiglio dei ministri e ministeri,Scolastica,True,True
281,IT-AL0310,Biblioteca Biomedica - Fondo storico G. Maconi,Azienda ospedaliera Santi Antonio e Biagio e Cesare Arrigo  ,"[44.9151933, 8.62134850000007]","Via Venezia, 16",Aziende ed enti del servizio sanitario nazionale,Specializzata,True,True
282,IT-AL0311,Biblioteca Civica,Comune di Grognardo,"[44.6298555679846, 8.49175483928684]",Piazza della Chiesa 1,Comune,Pubblica,False,
283,IT-AL0312,Biblioteca Civica ,Comune di Cartosio,"[44.5928252216724, 8.42043084655757]",Via Roma 31 ,Comune,Pubblica,False,False
