codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;comune;position_label;Lat;Long
IT-FI0521;Biblioteca del Convento di S. Spirito;Agostiniani OSA. Convento S. Spirito di Firenze;Piazza S. Spirito 30;Enti ecclesiastici;Pubblica;;;Firenze;206;43,766905;11,247929
IT-FI0523;Biblioteca storica antica delle Scuole Pie Fiorentine;Provincia Toscana dei padri Scolopi;Via Cavour, 94;Enti ecclesiastici;Importante non specializzata;True;False;Firenze;207;43,781499;11,26129
IT-FI0524;Biblioteca del Convento dei frati minori;Frati minori OFM. Convento S. Lucia di Lastra a Signa;Via del Serraglio 22;Enti ecclesiastici;Pubblica;;True;Firenze;208;43,764799;11,0993809
IT-FI0528;Biblioteca comunale;Comune di Reggello;Via E. Berlinguer , 2;Comune;Pubblica;;False;Firenze;209;43,6755363360977;11,528094219574
IT-FI0529;Biblioteca dell'Istituto Ernesto De Martino;Istituto Ernesto De Martino per la conoscenza critica e la presenza alternativa del mondo popolare e del mondo proletario;Via Scardassieri 47;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;210;43,8290293;11,192429
IT-FI0530;Biblioteca della Fondazione Giorgio La Pira;Convento di San Marco e Fondazione La Pira;Via G. La Pira 5;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;Firenze;211;43,7788202;11,2601192
IT-FI0533;Biblioteca del Centro cattolico studi sociali;;Piazza della Stazione 4/9;Enti ecclesiastici;NON SPECIFICATA;;;Firenze;212;43,775222;11,247896
IT-FI0539;Biblioteca di analisi globale e applicazioni. IAGA del CNR;Consiglio nazionale delle ricerche - CNR;Via S. Marta 13/A;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;Firenze;213;43,7987614;11,2552954
IT-FI0540;Biblioteca per l'agrometeorologia e l'analisi ambientale applicata all'agricoltura. IATA del CNR;Consiglio nazionale delle ricerche - CNR;Via Caproni 8;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;Firenze;214;43,7983061;11,1914023
IT-FI0546;Biblioteca della Società di studi geografici;Società di studi geografici;Via S. Gallo 10;Accademie, associazioni, fondazioni, istituti (pubblici);NON SPECIFICATA;;;Firenze;215;43,7775904;11,2565184
IT-FI0547;Biblioteca di storia della fotografia Fratelli Alinari;Fratelli Alinari. IDEA;Largo Fratelli Alinari 15;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;Firenze;216;43,7762363;11,2505426
IT-FI0548;Children's Lending Library;Comitato volontario per il children's Lending Library;Via B. Ruccellai 13;Accademie, associazioni, fondazioni, istituti (pubblici);Pubblica;;False;Firenze;217;43,7762043;11,2432626
IT-FI0549;Biblioteca del FILI. Centro documentazione e informazione La cooperativa delle donne;Centro documentazione e informazione La cooperativa delle donne;Via Fiesolana 2/B;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;218;43,7717245;11,2626386
IT-FI0552;Biblioteca dell'Istituto avventista di cultura biblica;Istituto avventista di cultura biblica;Via del Pergolino 12;Enti ecclesiastici;Specializzata;;False;Firenze;219;43,8048446;11,2516802
IT-FI0555;Biblioteca del Centro di documentazione salute mentale;Regione Toscana;Via Val di Pesa 1;Regione;Specializzata;;False;Firenze;220;43,7924128;11,2229275
IT-FI0556;Biblioteca del Centro regionale di documentazione agricola;Regione Toscana. ARSIA;Via Pietrapiana;Regione;Specializzata;;False;Firenze;221;43,7714327;11,2646059
