CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;orig_lat;orig_long;LOCALIZE;indirizzo_query;arcGIS_response;Long;Lat
12684;0;Corso Cavour, 47;BERRINO VALERIA CARMEN;4358200725;70121;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.2312514463;16.3040953093;1;Corso Cavour, 47, 70121, BARI;Corso Camillo Benso di Cavour 47, 70121, Bari;16.872122552166985;41.124551196779976
12685;0;Via De Giosa, 52;SURICO MANFREDI ROSA MARIA;394360721;70121;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;40.7815597389;17.2442907945;1;Via De Giosa, 52, 70121, BARI;Via Nicola De Giosa 52, 70121, Bari;16.873814425616022;41.12125635858965
12686;0;Via Tommaso Fiore, 29;TEMPESTA ARNALDO SNC;484280722;70123;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1262870639;16.8475660619;1;Via Tommaso Fiore, 29, 70123, BARI;Via Tommaso Fiore 29, 70123, Bari;16.847511139881142;41.12626206304434
12687;0;Via Umberto, 143;MASSARI CARLO;4507320721;70010;72006;BARI;CEGLIE DEL CAMPO DI BARI;72;BA;BARI;160;PUGLIA;01/01/2005;-;Ordinaria;1;41.1256631;16.8619381;1;Via Umberto, 143, 70010, BARI;Via Umberto I 143, 70129, Bari;16.86895975353458;41.06288415015291
12688;0;Via Putignani, 40;SBIROLI ERMINIO;6239940726;70121;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1233599;16.8707144;1;Via Putignani, 40, 70121, BARI;Via Putignano 40, 70013, Castellana Grotte, Bari;17.16460056994058;40.88223288121068
12689;0;Corso Benedetto Croce, 170;BENEDETTO CROCE SAS DI DR. ANGELO ANTONIO DELL'ORCO;6927950722;70125;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/12/2010;-;Ordinaria;1;41.1121312985;16.8721047706;1;Corso Benedetto Croce, 170, 70125, BARI;Corso Benedetto Croce 170, 70125, Bari;16.871824969473117;41.10770344823706
12690;0;Via Piccinni, 120;FARMACIA REALE S.N.C.;6681840721;70122;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.2009060938;16.6051671435;1;Via Piccinni, 120, 70122, BARI;Via Piccinni 120, 70018, Rutigliano, Bari;17.007096579444866;41.00755762744073
12691;0;Via Ruggiero il Normanno, 78;MELILLO FRANCESCO;5501310725;70122;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.129777056;16.8679774073;1;Via Ruggiero il Normanno, 78, 70122, BARI;Via Ruggiero il Normanno 78, 70122, Bari;16.867851129469884;41.12925892224097
12692;0;Via Principe Amedeo, 345;SISTO CLAUDIA;6395680728;70123;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1218276704;16.8559734758;1;Via Principe Amedeo, 345, 70123, BARI;Via Principe Amedeo 345, 70123, Bari;16.859504739800343;41.12210050375091
12693;0;Via Nicolai, 81/a;FAVIA ROMANA;3401620723;70122;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.0030641;16.8665316;1;Via Nicolai, 81/a, 70122, BARI;Piazza San Nicola 81, 70122, Bari;16.869633555156636;41.130490337626796
12694;0;Via Napoli, 278;RICCIARDIELLO ANDREA;1048120727;70123;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1342641;16.5431135;1;Via Napoli, 278, 70123, BARI;Via Napoli 278, 70123, Bari;16.852367298863545;41.127136554532896
12695;0;Via Quintino Sella, 135;ROMITA ANTONIO;1162850729;70122;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1219999075;16.8644298999;1;Via Quintino Sella, 135, 70122, BARI;Via Quintino Sella 135, 70122, Bari;16.864442004991655;41.12161753205609
12696;0;Strada San Girolamo, 2/4;MUSICCO NICOLO';348150723;70123;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Strada San Girolamo, 2/4, 70123, BARI;Strada San Girolamo 2, 70132, Bari;16.825144415972222;41.13552236354159
12697;0;Corso Cavour, 77;TREGLIA PIERNICOLA;4612280729;70121;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.2312514463;16.3040953093;1;Corso Cavour, 77, 70121, BARI;Corso Camillo Benso di Cavour 77, 70121, Bari;16.872202326245112;41.12372453788447
12698;0;Via Sparano, 151;GIUA BUCCIERO E. SNC;4484130721;70121;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2010;-;Ordinaria;1;41.1193878;16.8699191;1;Via Sparano, 151, 70121, BARI;Via Sparano da Bari 151, 70121, Bari;16.86993089425244;41.119372623925216
12699;0;Via Salvatore Matarrese, 11/1;FRONTERA VITO;349180729;70124;72006;BARI;FOCE VARANO;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.0978709689;16.8542763637;1;Via Salvatore Matarrese, 11/1, 70124, BARI;Via Salvatore Matarrese 11, 70124, Bari;16.854424695395004;41.0979991851232
12700;0;Corso Mazzini, 40 ang. P. Ravanas;VIOLANTE ANTONIO;6390780721;70123;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Corso Mazzini, 40 ang. P. Ravanas, 70123, BARI;Corso Giuseppe Mazzini 40, 70123, Bari;16.858278199001685;41.125335496249086
12701;0;Via Re David, 120;CARELLA CLELIA M.A.;2564390728;70125;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Via Re David, 120, 70125, BARI;Via Giuseppe Re David 120, 70126, Bari;16.875186616019352;41.114750510964285
12702;0;Via Melo, 5;SALVEMINI ADDOLORATA;3625620723;70122;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1259341;16.8709549;1;Via Melo, 5, 70122, BARI;Via Melo 5, 70017, Putignano, Bari;17.122172264643062;40.849479
